Campaign,Hour of the day,Clicks
Lifetime Campaign - Organizational Strategy  - A (Run 1),14,67
Lifetime Campaign - Organizational Strategy  - C (Run 1),14,69
Lifetime Campaign - Organizational Strategy  - B (Run 1),14,197
Course - System Thinking - Run 12 - Search - Lead Gen - US,14,"2,913"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,14,"1,921"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,14,"2,419"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,14,307
Lifetime Campaign - Technical Innovation  - B (Run 1),14,69
Lifetime Campaign - Technical Innovation  - US (Run 1),14,98
Lifetime Campaign - Technical Innovation  - A (Run 1),14,43
Lifetime Campaign - Technical Innovation  - C (Run 1),14,32
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,14,669
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,14,621
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,14,810
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,14,201
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,14,165
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,14,48
