Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
edx data science harvard,A,Exact match,existing searches,0.5999999888154315,2.30317691342,1.1160022355711845,2.3031766,2.719557667951733e-07,0.6989233180709955,0.13128453
edx data science harvard,A,Phrase match,existing searches,0.5999999888154303,2.2773193074200004,1.116002197358355,2.277319,3.529522270007135e-07,0.6989233420027011,0.1312846
edx data science harvard,A,Broad match,existing searches,0.5999999888154316,2.6404644040200007,1.163791158590008,2.640464,3.365608942651477e-07,0.6702233297639679,0.1312846
edx harvard,USA,Exact match,existing searches,0.8299999927486619,2.14495006108,1.3022862961263866,2.1449494,6.248922557183789e-07,0.8285428432923813,0.047448993
edx harvard,USA,Phrase match,existing searches,0.8299999927486614,2.20333342808,1.302286436731733,2.203333,5.270790230937905e-07,0.8285427538362136,0.047448993
edx harvard,USA,Broad match,existing searches,0.8299999927486397,2.46947998018,1.3500751873943555,2.4694796,4.193279492525903e-07,0.7992147405180456,0.047448993
edx harvard,A,Exact match,existing searches,0.5999999888154303,2.2839371254800005,1.116002230918233,2.2839367,3.865121049884124e-07,0.6989233209850172,0.047448993
edx harvard,A,Phrase match,existing searches,0.5999999888154302,2.2580795194800007,1.1160021927054036,2.258079,4.675085651939526e-07,0.6989233449167241,0.047448993
edx harvard,A,Broad match,existing searches,0.5999999888154302,2.621224616080001,1.1637911539370562,2.6212242,4.511172320142977e-07,0.6702233324435851,0.047448993
edx machine learning course,USA,Broad match,new,0.5599999790984267,0.8729840295800004,0.274803258705977,0.8729842,-1.413336958577816e-07,2.64916790381613,0.20589256
freecodecamp org,USA,Broad match,existing searches,0.9500000248890008,1.5972083906900003,0.6654828290711954,1.5972084,9.990842597673575e-09,1.8557954892380504,0.123711586
generative ai,USA,Broad match,existing searches,0.8299999927486617,3.135340790280001,0.693902115353243,3.1353407,9.966720782017546e-08,1.5549743496948072,0.4848274
generative ai fundamentals databricks,USA,Exact match,existing searches,0.8299999927486577,1.3551508252899995,0.8794960146229618,1.3551506,2.448838107849127e-07,1.2268389766789565,0.48482752
generative ai fundamentals databricks,USA,Phrase match,existing searches,0.8299999927486617,1.67298229579,0.8794959390547705,1.6729822,7.990865236173762e-08,1.2268390820916175,0.4848274
generative ai fundamentals databricks,USA,Broad match,existing searches,0.8299999927486609,1.60602703139,0.927285039870072,1.606027,2.4287033717484974e-08,1.1636119900353885,0.48482764
generative ai fundamentals databricks,A,Phrase match,existing searches,0.7100000174055227,1.7277283871899998,0.6932119334470188,1.7277284,2.0338193129632032e-08,1.3314831699990102,0.55601656
